Year,Month,RainfallMM
1991,1,38.2847
1991,2,12.7492
1991,3,73.3656
1991,4,83.135
1991,5,112.275
1991,6,33.6106
1991,7,36.6575
1991,8,32.8066
1991,9,18.3184
1991,10,41.2266
1991,11,60.2294
1991,12,53.4232
1992,1,10.2491
1992,2,15.9125
1992,3,17.0754
1992,4,119.919
1992,5,80.6001
1992,6,30.0842
1992,7,35.1079
1992,8,28.0127
1992,9,24.3121
1992,10,47.1624
1992,11,106.824
1992,12,98.4172
1993,1,80.9318
1993,2,53.6675
1993,3,24.0511
1993,4,77.5293
1993,5,110.664
1993,6,50.2024
1993,7,14.9912
1993,8,21.9237
1993,9,15.6103
1993,10,42.0606
1993,11,75.1036
1993,12,40.1232
1994,1,6.64417
1994,2,17.6202
1994,3,47.8114
1994,4,111.038
1994,5,82.2793
1994,6,33.7607
1994,7,44.5223
1994,8,31.9213
1994,9,20.1774
1994,10,69.6349
1994,11,168.397
1994,12,54.453
1995,1,10.5799
1995,2,37.3085
1995,3,69.4802
1995,4,150.358
1995,5,66.9476
1995,6,23.5026
1995,7,27.0207
1995,8,32.2454
1995,9,30.5747
1995,10,87.7315
1995,11,72.5827
1995,12,43.8125
1996,1,24.3053
1996,2,27.9605
1996,3,74.9097
1996,4,71.0857
1996,5,85.918
1996,6,50.8206
1996,7,33.833
1996,8,25.6055
1996,9,23.9495
1996,10,19.2856
1996,11,85.853
1996,12,6.98666
1997,1,8.74094
1997,2,1.15765
1997,3,45.8383
1997,4,188.323
1997,5,63.3745
1997,6,46.6663
1997,7,29.0068
1997,8,28.8858
1997,9,7.70611
1997,10,179.669
1997,11,247.081
1997,12,116.062
1998,1,76.2871
1998,2,59.9695
1998,3,50.1806
1998,4,115.334
1998,5,149.305
1998,6,69.6817
1998,7,36.89
1998,8,29.2989
1998,9,22.4775
1998,10,30.0269
1998,11,72.004
1998,12,12.8653
1999,1,17.4185
1999,2,3.90971
1999,3,85.2266
1999,4,95.084
1999,5,56.7194
1999,6,30.8994
1999,7,34.1242
1999,8,37.8536
1999,9,22.0581
1999,10,62.4518
1999,11,105.164
1999,12,46.1816
2000,1,14.7556
2000,2,4.22166
2000,3,32.876
2000,4,68.5452
2000,5,52.9646
2000,6,37.8617
2000,7,18.5894
2000,8,32.591
2000,9,25.9999
2000,10,54.8905
2000,11,76.8925
2000,12,28.327
2001,1,73.4348
2001,2,9.14876
2001,3,60.4919
2001,4,102.772
2001,5,59.8898
2001,6,39.8834
2001,7,30.7087
2001,8,27.1292
2001,9,21.0991
2001,10,40.8778
2001,11,130.099
2001,12,26.9851
2002,1,33.6236
2002,2,48.709
2002,3,44.18
2002,4,179.977
2002,5,87.748
2002,6,19.0076
2002,7,18.8563
2002,8,26.1242
2002,9,41.4186
2002,10,82.289
2002,11,77.2296
2002,12,121.69
2003,1,10.7769
2003,2,4.79105
2003,3,44.4622
2003,4,194.147
2003,5,126.015
2003,6,29.297
2003,7,20.7714
2003,8,21.4966
2003,9,26.1649
2003,10,38.9502
2003,11,71.3184
2003,12,28.6336
2004,1,54.7009
2004,2,17.7408
2004,3,45.8558
2004,4,107.349
2004,5,50.3418
2004,6,25.4392
2004,7,15.2559
2004,8,17.5807
2004,9,23.9635
2004,10,75.8217
2004,11,77.5228
2004,12,41.0149
2005,1,19.1011
2005,2,13.6037
2005,3,49.6763
2005,4,57.2831
2005,5,83.5191
2005,6,20.1572
2005,7,19.2082
2005,8,24.0252
2005,9,18.9451
2005,10,64.2847
2005,11,46.147
2005,12,18.656
2006,1,22.1909
2006,2,22.2449
2006,3,82.786
2006,4,131.79
2006,5,83.3955
2006,6,25.9291
2006,7,26.0609
2006,8,44.2328
2006,9,49.3262
2006,10,94.12
2006,11,174.698
2006,12,79.3671
2007,1,34.3716
2007,2,25.0993
2007,3,50.4786
2007,4,105.91
2007,5,90.5702
2007,6,23.7514
2007,7,39.9548
2007,8,64.4247
2007,9,66.5627
2007,10,46.6673
2007,11,57.0503
2007,12,48.9737
2008,1,26.4445
2008,2,28.524
2008,3,121.991
2008,4,85.7628
2008,5,63.9306
2008,6,23.9265
2008,7,21.3722
2008,8,29.2983
2008,9,32.8981
2008,10,86.2573
2008,11,110.582
2008,12,13.715
2009,1,32.8746
2009,2,28.0516
2009,3,22.3291
2009,4,92.9484
2009,5,72.8358
2009,6,30.4692
2009,7,18.3059
2009,8,19.4447
2009,9,19.6691
2009,10,130.978
2009,11,77.4053
2009,12,89.9905
2010,1,46.9243
2010,2,44.5868
2010,3,96.3101
2010,4,109.239
2010,5,72.8616
2010,6,45.9529
2010,7,16.5458
2010,8,33.5338
2010,9,16.7171
2010,10,50.512
2010,11,59.7331
2010,12,42.677
2011,1,19.4906
2011,2,28.7876
2011,3,83.5573
2011,4,65.3496
2011,5,84.732
2011,6,27.0977
2011,7,18.9236
2011,8,23.6642
2011,9,35.2312
2011,10,93.8432
2011,11,113.547
2011,12,42.9499
2012,1,46.5721
2012,2,15.5346
2012,3,23.3394
2012,4,107.882
2012,5,95.6116
2012,6,38.07
2012,7,26.9273
2012,8,36.3185
2012,9,42.0646
2012,10,89.3439
2012,11,124.175
2012,12,110.374
2013,1,42.9715
2013,2,16.8768
2013,3,145.511
2013,4,152.402
2013,5,68.7326
2013,6,27.0903
2013,7,25.5887
2013,8,51.8061
2013,9,45.2457
2013,10,36.5215
2013,11,84.2852
2013,12,72.66
2014,1,20.1543
2014,2,34.7628
2014,3,60.4054
2014,4,61.9105
2014,5,66.4223
2014,6,43.8258
2014,7,27.0972
2014,8,36.4492
2014,9,47.0196
2014,10,63.8456
2014,11,102.131
2014,12,50.6548
2015,1,26.2482
2015,2,21.8238
2015,3,48.4594
2015,4,136.338
2015,5,101.457
2015,6,70.9284
2015,7,20.7931
2015,8,17.9734
2015,9,36.7493
2015,10,64.3615
2015,11,163.608
2015,12,63.2356
2016,1,56.7251
2016,2,18.22
2016,3,30.4865
2016,4,166.705
2016,5,70.6712
2016,6,34.905
2016,7,34.5489
2016,8,25.5342
2016,9,15.1428
2016,10,40.0055
2016,11,121.997
2016,12,100.261
