Year,Month_Average,Date,TempDegC
1991,Jan,1991-Jan-25,25.1631
1991,Feb,1991-Feb-25,26.0839
1991,Mar,1991-Mar-25,26.2236
1991,Apr,1991-Apr-25,25.5812
1991,May,1991-May-25,24.6618
1991,Jun,1991-Jun-25,23.9439
1991,Jul,1991-Jul-25,22.9982
1991,Aug,1991-Aug-25,23.0391
1991,Sep,1991-Sep-25,23.9423
1991,Oct,1991-Oct-25,25.5236
1991,Nov,1991-Nov-25,24.5875
1991,Dec,1991-Dec-25,24.7398
1992,Jan,1992-Jan-25,24.4359
1992,Feb,1992-Feb-25,26.2892
1992,Mar,1992-Mar-25,26.5409
1992,Apr,1992-Apr-25,26.0819
1992,May,1992-May-25,24.7852
1992,Jun,1992-Jun-25,24.0563
1992,Jul,1992-Jul-25,22.8377
1992,Aug,1992-Aug-25,22.7902
1992,Sep,1992-Sep-25,23.8958
1992,Oct,1992-Oct-25,24.7925
1992,Nov,1992-Nov-25,24.4195
1992,Dec,1992-Dec-25,24.4344
1993,Jan,1993-Jan-25,24.2897
1993,Feb,1993-Feb-25,25.0506
1993,Mar,1993-Mar-25,25.7925
1993,Apr,1993-Apr-25,25.9763
1993,May,1993-May-25,24.9779
1993,Jun,1993-Jun-25,23.7715
1993,Jul,1993-Jul-25,22.8375
1993,Aug,1993-Aug-25,23.5543
1993,Sep,1993-Sep-25,23.8431
1993,Oct,1993-Oct-25,24.2092
1993,Nov,1993-Nov-25,25.2338
1993,Dec,1993-Dec-25,24.5048
1994,Jan,1994-Jan-25,24.6522
1994,Feb,1994-Feb-25,25.9058
1994,Mar,1994-Mar-25,25.7528
1994,Apr,1994-Apr-25,25.6103
1994,May,1994-May-25,24.6294
1994,Jun,1994-Jun-25,23.7561
1994,Jul,1994-Jul-25,22.8275
1994,Aug,1994-Aug-25,23.5708
1994,Sep,1994-Sep-25,24.1753
1994,Oct,1994-Oct-25,25.222
1994,Nov,1994-Nov-25,24.1713
1994,Dec,1994-Dec-25,24.3497
1995,Jan,1995-Jan-25,24.9216
1995,Feb,1995-Feb-25,25.9945
1995,Mar,1995-Mar-25,26.1929
1995,Apr,1995-Apr-25,26.0064
1995,May,1995-May-25,24.8333
1995,Jun,1995-Jun-25,24.1121
1995,Jul,1995-Jul-25,23.2944
1995,Aug,1995-Aug-25,23.6887
1995,Sep,1995-Sep-25,24.3098
1995,Oct,1995-Oct-25,25.3407
1995,Nov,1995-Nov-25,25.0667
1995,Dec,1995-Dec-25,25.0193
1996,Jan,1996-Jan-25,25.7146
1996,Feb,1996-Feb-25,26.4811
1996,Mar,1996-Mar-25,26.5805
1996,Apr,1996-Apr-25,25.7333
1996,May,1996-May-25,24.6923
1996,Jun,1996-Jun-25,23.7897
1996,Jul,1996-Jul-25,23.1185
1996,Aug,1996-Aug-25,23.2079
1996,Sep,1996-Sep-25,24.014
1996,Oct,1996-Oct-25,24.8826
1996,Nov,1996-Nov-25,24.6425
1996,Dec,1996-Dec-25,24.9152
1997,Jan,1997-Jan-25,25.5562
1997,Feb,1997-Feb-25,25.9044
1997,Mar,1997-Mar-25,26.1192
1997,Apr,1997-Apr-25,25.2267
1997,May,1997-May-25,24.7565
1997,Jun,1997-Jun-25,23.8643
1997,Jul,1997-Jul-25,23.3821
1997,Aug,1997-Aug-25,23.5251
1997,Sep,1997-Sep-25,24.9931
1997,Oct,1997-Oct-25,25.0558
1997,Nov,1997-Nov-25,24.4959
1997,Dec,1997-Dec-25,24.6103
1998,Jan,1998-Jan-25,25.613
1998,Feb,1998-Feb-25,26.3175
1998,Mar,1998-Mar-25,26.7041
1998,Apr,1998-Apr-25,25.8261
1998,May,1998-May-25,24.5654
1998,Jun,1998-Jun-25,24.1029
1998,Jul,1998-Jul-25,23.3852
1998,Aug,1998-Aug-25,23.313
1998,Sep,1998-Sep-25,24.3268
1998,Oct,1998-Oct-25,25.8522
1998,Nov,1998-Nov-25,24.8346
1998,Dec,1998-Dec-25,24.7358
1999,Jan,1999-Jan-25,25.5838
1999,Feb,1999-Feb-25,26.7698
1999,Mar,1999-Mar-25,26.7005
1999,Apr,1999-Apr-25,25.8207
1999,May,1999-May-25,25.3357
1999,Jun,1999-Jun-25,23.9813
1999,Jul,1999-Jul-25,23.1006
1999,Aug,1999-Aug-25,23.2923
1999,Sep,1999-Sep-25,24.4701
1999,Oct,1999-Oct-25,24.4443
1999,Nov,1999-Nov-25,24.4406
1999,Dec,1999-Dec-25,24.4371
2000,Jan,2000-Jan-25,24.5514
2000,Feb,2000-Feb-25,25.5136
2000,Mar,2000-Mar-25,26.5248
2000,Apr,2000-Apr-25,26.3236
2000,May,2000-May-25,25.2045
2000,Jun,2000-Jun-25,23.5084
2000,Jul,2000-Jul-25,24.1301
2000,Aug,2000-Aug-25,24.0395
2000,Sep,2000-Sep-25,24.0184
2000,Oct,2000-Oct-25,24.5562
2000,Nov,2000-Nov-25,25.8349
2000,Dec,2000-Dec-25,24.6516
2001,Jan,2001-Jan-25,25.6423
2001,Feb,2001-Feb-25,26.8772
2001,Mar,2001-Mar-25,27.1555
2001,Apr,2001-Apr-25,25.7671
2001,May,2001-May-25,24.9937
2001,Jun,2001-Jun-25,23.4213
2001,Jul,2001-Jul-25,23.153
2001,Aug,2001-Aug-25,23.4107
2001,Sep,2001-Sep-25,24.7741
2001,Oct,2001-Oct-25,25.855
2001,Nov,2001-Nov-25,24.8915
2001,Dec,2001-Dec-25,25.2077
2002,Jan,2002-Jan-25,25.5658
2002,Feb,2002-Feb-25,26.4501
2002,Mar,2002-Mar-25,27.0802
2002,Apr,2002-Apr-25,26.4038
2002,May,2002-May-25,25.7182
2002,Jun,2002-Jun-25,24.4419
2002,Jul,2002-Jul-25,23.7321
2002,Aug,2002-Aug-25,24.5022
2002,Sep,2002-Sep-25,25.0192
2002,Oct,2002-Oct-25,25.6157
2002,Nov,2002-Nov-25,25.5577
2002,Dec,2002-Dec-25,25.6499
2003,Jan,2003-Jan-25,25.9206
2003,Feb,2003-Feb-25,26.2382
2003,Mar,2003-Mar-25,27.1914
2003,Apr,2003-Apr-25,27.0047
2003,May,2003-May-25,25.8128
2003,Jun,2003-Jun-25,24.411
2003,Jul,2003-Jul-25,23.8584
2003,Aug,2003-Aug-25,23.9016
2003,Sep,2003-Sep-25,24.5353
2003,Oct,2003-Oct-25,25.4204
2003,Nov,2003-Nov-25,25.3879
2003,Dec,2003-Dec-25,25.77
2004,Jan,2004-Jan-25,26.3393
2004,Feb,2004-Feb-25,26.9267
2004,Mar,2004-Mar-25,26.6257
2004,Apr,2004-Apr-25,25.8352
2004,May,2004-May-25,25.6915
2004,Jun,2004-Jun-25,24.6079
2004,Jul,2004-Jul-25,23.7949
2004,Aug,2004-Aug-25,24.5243
2004,Sep,2004-Sep-25,24.4596
2004,Oct,2004-Oct-25,24.4763
2004,Nov,2004-Nov-25,25.1573
2004,Dec,2004-Dec-25,25.3106
2005,Jan,2005-Jan-25,24.8122
2005,Feb,2005-Feb-25,27.1921
2005,Mar,2005-Mar-25,27.4049
2005,Apr,2005-Apr-25,26.7171
2005,May,2005-May-25,25.1366
2005,Jun,2005-Jun-25,24.1579
2005,Jul,2005-Jul-25,23.5231
2005,Aug,2005-Aug-25,23.9151
2005,Sep,2005-Sep-25,25.2023
2005,Oct,2005-Oct-25,25.1685
2005,Nov,2005-Nov-25,25.3178
2005,Dec,2005-Dec-25,25.4102
2006,Jan,2006-Jan-25,26.012
2006,Feb,2006-Feb-25,26.9355
2006,Mar,2006-Mar-25,27.0357
2006,Apr,2006-Apr-25,25.8867
2006,May,2006-May-25,24.986
2006,Jun,2006-Jun-25,24.4074
2006,Jul,2006-Jul-25,23.548
2006,Aug,2006-Aug-25,24.2949
2006,Sep,2006-Sep-25,24.1269
2006,Oct,2006-Oct-25,25.8045
2006,Nov,2006-Nov-25,25.1589
2006,Dec,2006-Dec-25,24.8899
2007,Jan,2007-Jan-25,25.5855
2007,Feb,2007-Feb-25,26.4363
2007,Mar,2007-Mar-25,26.6092
2007,Apr,2007-Apr-25,26.0444
2007,May,2007-May-25,25.5509
2007,Jun,2007-Jun-25,23.7128
2007,Jul,2007-Jul-25,22.7807
2007,Aug,2007-Aug-25,23.6905
2007,Sep,2007-Sep-25,24.7334
2007,Oct,2007-Oct-25,25.5032
2007,Nov,2007-Nov-25,24.8829
2007,Dec,2007-Dec-25,25.1843
2008,Jan,2008-Jan-25,25.9522
2008,Feb,2008-Feb-25,26.0127
2008,Mar,2008-Mar-25,26.2269
2008,Apr,2008-Apr-25,25.4593
2008,May,2008-May-25,24.5696
2008,Jun,2008-Jun-25,23.5775
2008,Jul,2008-Jul-25,23.2604
2008,Aug,2008-Aug-25,24.4005
2008,Sep,2008-Sep-25,25.4872
2008,Oct,2008-Oct-25,25.3388
2008,Nov,2008-Nov-25,24.499
2008,Dec,2008-Dec-25,24.8051
2009,Jan,2009-Jan-25,25.6666
2009,Feb,2009-Feb-25,26.1369
2009,Mar,2009-Mar-25,27.0794
2009,Apr,2009-Apr-25,26.8432
2009,May,2009-May-25,25.418
2009,Jun,2009-Jun-25,24.6483
2009,Jul,2009-Jul-25,23.8074
2009,Aug,2009-Aug-25,24.7409
2009,Sep,2009-Sep-25,25.2241
2009,Oct,2009-Oct-25,25.6667
2009,Nov,2009-Nov-25,25.5432
2009,Dec,2009-Dec-25,26.582
2010,Jan,2010-Jan-25,26.2326
2010,Feb,2010-Feb-25,26.4022
2010,Mar,2010-Mar-25,27.0585
2010,Apr,2010-Apr-25,26.7494
2010,May,2010-May-25,25.2216
2010,Jun,2010-Jun-25,24.1788
2010,Jul,2010-Jul-25,23.5993
2010,Aug,2010-Aug-25,24.1275
2010,Sep,2010-Sep-25,24.7352
2010,Oct,2010-Oct-25,25.7465
2010,Nov,2010-Nov-25,25.2708
2010,Dec,2010-Dec-25,25.984
2011,Jan,2011-Jan-25,26.1305
2011,Feb,2011-Feb-25,26.0875
2011,Mar,2011-Mar-25,26.8969
2011,Apr,2011-Apr-25,27.0179
2011,May,2011-May-25,25.8316
2011,Jun,2011-Jun-25,24.4374
2011,Jul,2011-Jul-25,23.8652
2011,Aug,2011-Aug-25,23.9092
2011,Sep,2011-Sep-25,24.8131
2011,Oct,2011-Oct-25,24.8914
2011,Nov,2011-Nov-25,24.9862
2011,Dec,2011-Dec-25,25.0738
2012,Jan,2012-Jan-25,24.9748
2012,Feb,2012-Feb-25,25.9048
2012,Mar,2012-Mar-25,27.5007
2012,Apr,2012-Apr-25,26.1119
2012,May,2012-May-25,25.5211
2012,Jun,2012-Jun-25,24.1384
2012,Jul,2012-Jul-25,23.423
2012,Aug,2012-Aug-25,24.3426
2012,Sep,2012-Sep-25,25.22
2012,Oct,2012-Oct-25,25.7267
2012,Nov,2012-Nov-25,25.4841
2012,Dec,2012-Dec-25,24.5937
2013,Jan,2013-Jan-25,25.5601
2013,Feb,2013-Feb-25,26.66
2013,Mar,2013-Mar-25,27.1454
2013,Apr,2013-Apr-25,25.0039
2013,May,2013-May-25,25.5921
2013,Jun,2013-Jun-25,23.2803
2013,Jul,2013-Jul-25,23.7706
2013,Aug,2013-Aug-25,23.5732
2013,Sep,2013-Sep-25,25.195
2013,Oct,2013-Oct-25,25.2564
2013,Nov,2013-Nov-25,25.812
2013,Dec,2013-Dec-25,25.3371
2014,Jan,2014-Jan-25,25.6409
2014,Feb,2014-Feb-25,26.6889
2014,Mar,2014-Mar-25,26.8922
2014,Apr,2014-Apr-25,25.4701
2014,May,2014-May-25,25.6096
2014,Jun,2014-Jun-25,25.0937
2014,Jul,2014-Jul-25,24.5677
2014,Aug,2014-Aug-25,23.8324
2014,Sep,2014-Sep-25,24.8383
2014,Oct,2014-Oct-25,25.4047
2014,Nov,2014-Nov-25,25.4512
2014,Dec,2014-Dec-25,25.4477
2015,Jan,2015-Jan-25,25.0435
2015,Feb,2015-Feb-25,26.386
2015,Mar,2015-Mar-25,26.5572
2015,Apr,2015-Apr-25,26.0706
2015,May,2015-May-25,25.0663
2015,Jun,2015-Jun-25,24.5884
2015,Jul,2015-Jul-25,24.4622
2015,Aug,2015-Aug-25,24.3538
2015,Sep,2015-Sep-25,25.425
2015,Oct,2015-Oct-25,26.9733
2015,Nov,2015-Nov-25,25.2908
2015,Dec,2015-Dec-25,26.2345
2016,Jan,2016-Jan-25,27.0367
2016,Feb,2016-Feb-25,27.5964
2016,Mar,2016-Mar-25,27.7507
2016,Apr,2016-Apr-25,26.9416
2016,May,2016-May-25,25.3344
2016,Jun,2016-Jun-25,24.2913
2016,Jul,2016-Jul-25,24.256
2016,Aug,2016-Aug-25,24.0942
2016,Sep,2016-Sep-25,24.437
2016,Oct,2016-Oct-25,26.0317
2016,Nov,2016-Nov-25,25.5692
2016,Dec,2016-Dec-25,25.7401
